,product,new_code
399,92f61147-3c5d-432a-8d9a-30aaad332795,13424
400,6b158baf-b611-43b0-badc-469ebc6a516d,9845
402,336b41ad-754e-49d8-a426-6dd4845b4f41,4765
403,585ad3d6-1e81-4b00-ac32-c16d8ddeb4f1,8122
405,af1a8df1-ba94-4294-a15d-aa8291e0afd7,16052
406,53951020-5020-45a1-85e8-d2276d44790b,7675
407,d7a527ac-4605-4ac6-9383-d4b13a41d87e,19790
408,f1cf9e40-64cf-453a-9f46-94c5da7bd187,22254
410,cd6c819a-8b2f-4166-a6f4-a2e4c5476b0c,18880
411,311d9ece-4d46-4e65-9e09-3b3768e08bb7,4535
412,57baadf8-c312-4f04-baf3-768850d04eae,8062
413,dc1c2d5c-e091-4f18-b237-f87c02c5dc39,20225
414,b0090b08-e971-4b02-9a61-b8b48edfccfd,16129
418,4f245707-6240-4808-830a-9022e464b1fd,7274
419,5d8990e6-7285-40e3-9955-d0bbbd2c650a,8587
420,51ca04ed-fe8d-4c3d-b724-87952c585d98,7538
422,bef7f771-1232-4c25-9952-e94cff341870,17523
423,c134fe9f-6e80-4de1-a77c-12e1dfdab56a,17732
424,15b29e26-2313-4a29-8c86-f92e0768ef94,2020
425,2d371aaf-ab17-437a-bece-3bd6989295ac,4176
426,e0c1337b-e6d5-4d7b-8f78-af690e37506d,20676
427,aecf5a37-c06c-4265-83e6-4d69e92d5fb1,16020
428,375c7da8-1cf3-49aa-bc8b-bcf62e15ca94,5125
429,becfe454-f67a-4033-ae3b-68c7e15801b5,17500
430,69f6f54d-67d3-4895-8b5b-4ba987220c2b,9753
431,4afd9f31-16f5-4c18-9f9f-ae3d3812a24a,6883
432,68d881f4-9cb6-4361-b230-5f5fd1806d62,9644
433,2348cd42-b104-4afb-890f-2a12560f60a7,3292
434,866a0e1e-e3ed-49f9-ae52-66d6459f7af2,12327
435,f88e1aba-2329-45db-84cc-c397a4740ed3,22907
436,f85a14ee-f570-4453-b895-1a7df4519b1e,22885
437,1d86dfb9-321a-41b3-8357-b635007873eb,2752
438,0dce6471-39f7-4e56-b98c-17d7fb1ede2b,1272
439,af6464ae-1044-4832-ac00-a428ef37ab35,16081
440,bed0faf1-82c2-4aeb-9e2d-637a4b268e92,17501
441,d270eb04-b577-4f27-a0e6-c7e592e72aa8,19328
442,83f825a4-3344-47b5-b9e8-a6d508b5336f,12112
443,b4891d77-f807-440c-9469-148e07d6ed96,16555
444,993ba622-571e-4745-bf65-855d7efd0464,14037
445,f5fdf454-a0e6-47d0-8572-ba1889de09a1,22641
446,7736fd63-89ff-4c35-bb1f-812faccbdac5,11013
447,16355a6a-bc71-4491-b8a0-59c9d95cdc3f,2060
448,9d62f12c-fbaa-432d-86ad-67543457e69e,14412
450,5ae59aa9-f4fe-4504-8ee9-84db97271191,8356
451,6033d161-a3c7-4380-b842-ecfd8cfecfde,8833
452,873dfd11-0bd7-41c9-aa76-5c0fff67779a,12401
453,a6f64f35-982f-485e-8d3e-ad63615abe1a,15323
455,63690cc4-5180-48a6-b8be-e422772db100,9119
456,a855c220-cf1c-43b6-b24b-73c130ff7ac4,15450
457,ca325a01-2923-49a9-b48b-d650bf68b392,18549
458,6da70bbf-f4c7-44de-aadb-85eef193e7cd,10085
459,651b5fb8-2089-4f3e-aa90-58556c7f0ff0,9281
460,51fb7117-df31-494c-b2f3-f11577251a08,7548
461,f6871985-c134-44a0-9e9e-95d5e49e558e,22705
462,30f66148-8401-4b34-9e1e-fb5972b10e3b,4517
463,98fcb965-29d2-4aad-ac1f-40fc694658ff,14015
464,8a21613b-eefc-4081-9b6f-a8166483455e,12659
465,a02df130-282f-4303-9034-b23a543db86d,14675
466,c34fa9ec-bff8-48a5-bd6c-40f60d026aa8,17925
468,cf9316ee-243b-4e49-882f-a154b2ec6597,19058
469,39527954-a288-44c8-8953-5b613818ed9c,5315
470,d597f3fe-7cc7-4715-815f-d67770bd6971,19597
471,f97d33eb-fa8f-4fc8-bca4-852fc9975efd,22999
472,da723d64-4c37-413c-b923-07eeae23b106,20078
473,991f5d74-1f6f-4f48-be0d-ad7af641c300,14028
474,09b0157d-e788-4862-b0cd-ba8f8f1df4cc,875
475,1b179b03-4b0a-4a3c-a0c3-b046ea685d7d,2531
476,4dd2e2de-f983-46aa-a3ee-be52c8b171da,7143
477,6f747f90-3654-46e4-94b9-9e40b38e1078,10257
